14/12/16 00:30:00 metop2a  63.45 297.32
14/12/16 00:31:00 metop2a  66.77 294.02
14/12/16 00:32:00 metop2a  70.01 289.77
14/12/16 00:33:00 metop2a  73.13 284.09
14/12/16 00:34:00 metop2a  76.04 276.12
14/12/16 00:35:00 metop2a  78.60 264.50
14/12/16 00:36:00 metop2a  80.49 247.52
14/12/16 00:37:00 metop2a  81.29 225.21
14/12/16 00:38:00 metop2a  80.70 202.39
14/12/16 00:39:00 metop2a  78.94 184.51
14/12/16 00:40:00 metop2a  76.46 172.18
14/12/16 00:41:00 metop2a  73.59 163.76
14/12/16 00:42:00 metop2a  70.49 157.79
14/12/16 00:43:00 metop2a  67.27 153.36
14/12/16 00:44:00 metop2a  63.96 149.94
14/12/16 00:45:00 metop2a  60.59 147.19
14/12/16 00:46:00 metop2a  57.19 144.92
14/12/16 00:47:00 metop2a  53.77 142.99
14/12/16 00:48:00 metop2a  50.32 141.31
14/12/16 00:49:00 metop2a  46.85 139.83
14/12/16 00:50:00 metop2a  43.38 138.49
14/12/16 00:51:00 metop2a  39.90 137.28
14/12/16 00:52:00 metop2a  36.41 136.16
14/12/16 00:53:00 metop2a  32.91 135.11
14/12/16 00:54:00 metop2a  29.41 134.12
14/12/16 00:55:00 metop2a  25.91 133.19
14/12/16 00:56:00 metop2a  22.40 132.29
14/12/16 00:57:00 metop2a  18.90 131.43
14/12/16 00:58:00 metop2a  15.39 130.59
14/12/16 00:59:00 metop2a  11.88 129.77
14/12/16 01:00:00 metop2a   8.37 128.96
